R-49 S1	-106.23825	35.8273	43
R-49 S2	-106.23825	35.8273	31
R-5 S2	-106.22877	35.87307	26
R-5 S3	-106.22877	35.87307	28
R-5 S4	-106.22877	35.87307	22
R-50 S1	-106.25591	35.85666	105
R-50 S2	-106.25591	35.85666	106
R-51 S1	-106.26934	35.84263	25
R-51 S2	-106.26934	35.84263	31
R-52 S1	-106.26157	35.84495	26
R-52 S2	-106.26157	35.84495	40
R-53 S1	-106.25104	35.8368	23
R-53 S2	-106.25104	35.8368	23
R-54 S1	-106.25544	35.83609	46
R-54 S2	-106.25544	35.83609	26
R-55 S1	-106.22751	35.82969	25
R-55 S2	-106.22751	35.82969	25
R-55i	-106.22774	35.82993	31
R-56 S1	-106.24969	35.83456	25
R-56 S2	-106.24969	35.83456	25
R-57 S1	-106.23417	35.82987	23
R-57 S2	-106.23417	35.82987	23
R-6	-106.26487	35.87533	41
R-60	-106.29618	35.86057	34
R-61 S1	-106.2612	35.85758	99
R-61 S2	-106.2612	35.85758	51
R-62	-106.26647	35.86312	61
R-64	-106.27541	35.8772	43
R-66	-106.25987	35.87309	24
R-67	-106.29012	35.87035	35
R-6i	-106.26493	35.87534	37
R-7 S1	-106.27954	35.87469	9
R-7 S3	-106.27954	35.87469	28
R-8 S1	-106.24756	35.87168	33
R-8 S2	-106.24756	35.87168	32
R-9	-106.22361	35.86698	53
R-9i S1	-106.22372	35.86696	34
R-9i S2	-106.22372	35.86696	29
SCA-1	-106.31054	35.87361	12
SCA-1-DP	-106.31054	35.87361	25
SCA-2	-106.26452	35.86543	18
SCA-4	-106.25728	35.86347	20
SCI-1	-106.26213	35.86548	74
SCI-2	-106.26101	35.8637	96
SIMR-2	-106.25103	35.85399	51
SWA-3-7	-106.31114	35.87376	9
SWA-3-8	-106.31109	35.8738	10
SWA-3-9	-106.31105	35.87386	9
TA-18 Spring	-106.27095	35.8392	16
TA-53i	-106.26541	35.86828	20
Test Well 1	-106.21751	35.87036	14
Test Well 1A	-106.21746	35.87033	6
Test Well 2A	-106.27104	35.88468	8
Test Well 3	-106.25908	35.87328	18
Test Well 4	-106.30533	35.88574	8
Test Well 8	-106.27647	35.8633	36
TMO-1	-106.29585	35.8541	6
TW-1.72 Spring	-106.323	35.86773	10
TW-2Ar	-106.27122	35.88485	32
SWA-1-1	-106.3147478	35.8754103	10
SWA-2-4	-106.3125236	35.8745609	10
SWA-2-5	-106.3124817	35.874674	10
SWA-2-6	-106.3124341	35.8747486	10
SWA-4-10	-106.3106197	35.8735723	10
SWA-4-12	-106.3105616	35.8737001	10
SWA-4-11	-106.3105976	35.8736526	10
SWA-1-2	-106.3147563	35.8754177	11
SWA-1-3	-106.3147361	35.875528	10
