Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
TW-2Ar		['35.8848457', '35.884846', '35.884845700000', '35.884846000000']		['6651.67']		['113.9']	['4.5 in', '4.5 ']		['112']				['Tpf']			['6651.67', '6655.38']	Latitude- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Latitude- MW, Well Diameter [in]- MW, TOC Elevation- MW, Latitude- CD, Latitude- CD
R-3i OB	['Intermediate']																Aquifer- MW
MCO-6B						['47.1']	['2 in']		['42']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-10 OB	['Regional']																Aquifer- MW
R-12 S1			['-106.2263505', '-106.226350500000']	['6499.6']					['467.5']								Ground Elevation- MW, Longitude- MW, Screen Bottom [ft]- MW, Longitude- CD
R-46				['7213.33']			['5 in']		['1360.7']							['7213.33', '7216.15']	Ground Elevation- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
POI-4				['6372.29']		['176.5']	['4 in']		['174']							['6372.29']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
LAWS-01 S4	['Intermediate']							['263']	['273']				['Tb4']				Aquifer- MW, Geologic Unit Code- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
SCA-3						['32.6']	['2 in']		['32']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
SWA-3-8	['Alluvial']					['11.15', '10.68']	['2 in']		['10.68']							['7216.4']	Aquifer- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW
MCO-13				['6674.48']		['107']	['2 in']		['107']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
Test Well 2				['6648.06']		['834']	['6 in']		['824']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
21-01812		['35.8776464', '35.877646400000']															Latitude- MW, Latitude- CD
18-MW-16				['6727']													Ground Elevation- MW
R-67		['35.8703461', '35.870346100000']		['7123.25']		['1273.3']	['5 in']						['Tjfp']			['7132.25', '7123.25']	Latitude- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, TOC Elevation- MW, TOC Elevation- MW, Latitude- CD
LAO-1.1	['Alluvial']			['6797']													Aquifer- MW, Ground Elevation- MW
R-24				['6547.38']		['861']	['4.46 in', '4.5 in']		['848']							['6547.38']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, Well Diameter [in]- MW, TOC Elevation- MW
03-B-9						['31.8']	['2 in']		['31.3']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAO-0.8				['6887.58']			['4 in']		['12.5']				['Qal']			['6889.71']	Ground Elevation- MW, Geologic Unit Code- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-2				['6770.38']		['943.3']	['4.5 in']		['929.6']							['6770.38']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
CDBO-9						['34']			['29']								Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
PCAO-7b1						['60']	['4 in']		['54']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-52 S2				['6883.04']					['1117']								Ground Elevation- MW, Screen Bottom [ft]- MW
TSWB-6						['40']	['2.75 in']		['35']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-19 S4									['1417.4']								Screen Bottom [ft]- MW
PCO-3				['6546.3']		['17.7']			['17.7']								Ground Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
MCA-1						['5.9']	['1 in']		['5.4']				['Qal']			['7073.9']	Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
PCAO-9						['21']	['4 in']		['16']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
Core Hole 2	['Intermediate']																Aquifer- MW
MT-2						['64']			['64']								Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-70 S2		['35.85979', '35.859790000000']	['-106.24595', '-106.245950000000']														Latitude- MW, Longitude- MW, Latitude- CD, Longitude- CD
LAWS-01	['Intermediate']					['278']	['3.8 in']	['Multiple']	['Multiple']				['Tb4']				Aquifer- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
SWA-3-9	['Alluvial']					['8.22', '8.54']	['2 in']		['8.22']							['7216.22']	Aquifer- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW
SCA-1						['2.1']	['2 in']		['1.9']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
PRB-MW-02	['Alluvial']																Aquifer- MW
R-70 S1		['35.85979', '35.859790000000']	['-106.24595', '-106.245950000000']														Latitude- MW, Longitude- MW, Latitude- CD, Longitude- CD
R-7 OB	['Intermediate']																Aquifer- MW
MCO-5				['6875.66']		['46']	['3 in']		['46']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAO-0.6				['6910.74']			['4 in']		['13']				['Qal']			['6912.88']	Ground Elevation- MW, Geologic Unit Code- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
SWA-3-7	['Alluvial']					['6.84', '7.11']	['2 in']		['6.84']							['7216.2']	Aquifer- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW
TMO-1			['-106.2958484', '-106.295848400000']			['6.5']	['1.5 in']		['6.5']				['Qal']			['6645.2']	Longitude- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Longitude- CD
SCO-1						['19.3']			['19.3']								Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
18-MW-8						['37.9']	['2 in']		['38']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-23i OB	['Intermediate']																Aquifer- MW
18-BG-4						['6.5']	['4 in']		['6.5']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
MCA-5						['6']	['1.0 in']		['5.75']				['Qal']			['7056.1']	Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
LAO-C						['13']	['3 in']		['13']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
SWA-1-3	['Alluvial']					['9.37']	['2 in']	['3']	['9.37']							['7242.6']	Aquifer- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
MCOBT-4.4 OB	['Intermediate']																Aquifer- MW
CrEX-1				['6831.303']													Ground Elevation- MW
LAWS-01 S1	['Intermediate']							['83']	['93']				['Tb4']				Aquifer- MW, Geologic Unit Code- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
MCO-7				['6827.31']		['69']	['3 in']		['71.18', '69']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, Screen Bottom [ft]- MW
SWA-2-6						['8.98']		['5.98']	['11.08']								Total Well Depth [ft]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
SWA-1-1	['Alluvial']					['19.03', '18.33']	['2 in']	['13']	['18.33']							['7242.93']	Aquifer- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW
SWA-2-4						['9.23']		['6.23']	['12.23']								Total Well Depth [ft]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
LAWS-01 S3	['Intermediate']							['188']	['198']				['Tb4']				Aquifer- MW, Geologic Unit Code- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
R-19 S1									['843.6']								Screen Bottom [ft]- MW
SWA-4-11						['9.3']											Total Well Depth [ft]- MW
SWA-1-2						['13.17']											Total Well Depth [ft]- MW
18-01254		['35.840050500000']															Latitude- CD
CrEX-2			['-106.260735200000']														Longitude- CD
CrIN-1		['35.859689400000']															Latitude- CD
CrIN-5			['-106.255851600000']														Longitude- CD
CRPZ-4		['35.861149800000']															Latitude- CD
MCO-7.5			['-106.266745600000']														Longitude- CD
PM-2			['-106.262548400000', '-106.262548000000']														Longitude- CD, Longitude- CD
