Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
CrEX-3	['Regional']		['-106.2549522', '-106.254952200000']	['6734.601']		['1004.5']	['8 in']	['909.6']	['948.8']				['Tpf']			['6734.6', '6733.16']	Aquifer- MW, Longitude- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW, Longitude- CD
LAOI-3.2				['6622.6']		['165']	['2.1 in']		['162.8']							['6622.6', '6625.3']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
LAO-1.8						['18']	['3 in']		['18']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-37 S1				['6870.59']					['950']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-11				['6673.72']		['901.7']	['4.5 in']		['877.9']							['6673.72']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-9i S1				['6383.2']					['199.5']								Ground Elevation- MW, Screen Bottom [ft]- MW
TSCA-6						['21.3']	['2.1 in']		['20.9']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-19 S5									['1589.8']								Screen Bottom [ft]- MW
MCO-8.2						['70']	['2 in']		['70']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-3i				['6390.15']			['2 in']		['220']				['Tb4']			['6390.15']	Ground Elevation- MW, Screen Bottom [ft]- MW, Geologic Unit Code- MW, Well Diameter [in]- MW, TOC Elevation- MW
R-41 S2				['6660.53']					['975']								Ground Elevation- MW, Screen Bottom [ft]- MW
LAO-0.7				['6904']		['23']	['2 in']		['20']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-5 S1									['331.5']								Screen Bottom [ft]- MW
R-22 S5		['35.829246', '35.829246499999996', '35.829246500000']		['6650.5']					['1452.3']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD
CDBO-7		['35.8462528', '35.846253000000', '35.846252800000']		['6771.81']		['44']			['39']								Latitude- MW, Ground Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW, Latitude- CD, Latitude- CD
Test Well 1						['642']	['8 in']		['642']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
MCOI-6				['6811.1']		['713.22', '712.6']	['4.5 in']		['713.22', '709']							['6811.1']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-33 S1				['6853.33']					['1018.5']								Ground Elevation- MW, Screen Bottom [ft]- MW
Test Well 2A				['6650.4']		['133']	['8 in']		['133']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAO-6						['16']	['3 in']		['16']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAOI-3.2 OB	['Intermediate']																Aquifer- MW
PAO-5s						['20.9']	['4 in']		['18.05']				['Tpf']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-12 S2			['-106.2263505', '-106.226350500000']	['6499.6']					['508']								Longitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Longitude- CD
R-50 S2				['6904.11']					['1205.6']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-45 S1				['6704.02']					['890']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-49 S2				['6584.54']					['926.4']								Ground Elevation- MW, Screen Bottom [ft]- MW
CDBO-1						['14']	['4 in']	['9']	['14']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
SCI-2				['6735.7']		['570']	['2 in']		['568']							['6735.7']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
SCA-4				['6703.58']		['42']	['2 in']		['41.5']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-23i S2				['6527.88']					['480.1']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-17 S2				['6921.51']					['1134']								Ground Elevation- MW, Screen Bottom [ft]- MW
18-MW-15				['6727.9']													Ground Elevation- MW
LAOI-3.2a				['6624.43']		['194.1']	['3.1 in']		['191']							['6627.25', '6624.43']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
MCO-7A						['44.8']	['3 in']		['44.8']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
PCI-2	['522']			['6920.95']		['533.3']	['6920.95']	['5 in']	['512']				['Intermediate Perched']				Aquifer- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
03-B-10						['31.1']	['2 in']		['30.6']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-20 S1		['35.836345', '35.8363447', '35.836344700000', '35.836345000000']		['6694.35']					['912.2']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD, Latitude- CD
R-23				['6527.75']		['886.3']	['4.5 in']		['873.2']							['6527.75']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-6i				['6996.9']		['615']	['4.5 in']		['612']							['6996.9', '6999.42']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
R-54 S1				['6679.85']					['840']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-51 S2				['6762.17']					['1041']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-40 Si									['669.02']								Screen Bottom [ft]- MW
LAOR-1	['Alluvial']			['6864.83']													Ground Elevation- MW, Aquifer- MW
PCAO-7c						['25']	['4 in']		['19.7']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-32 S1		['35.8309486', '35.830949', '35.830949000000', '35.830948600000']		['6637.63']					['875.2']								Latitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Latitude- MW, Latitude- CD, Latitude- CD
R-22 S2		['35.829246', '35.829246499999996', '35.829246500000']		['6650.5']					['988.9']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD
R-12 OB	['Intermediate']		['-106.2263505', '-106.226350500000']	['6499.6']													Aquifer- MW, Longitude- MW, Ground Elevation- MW, Longitude- CD
MCOI-4				['6837.2']		['525.7']	['4.5 in']		['522']				['Tpf']			['6839.9']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-5 OB	['Intermediate']			['6472.6']													Aquifer- MW, Ground Elevation- MW
R-45 S2				['6704.02']					['994.9']								Ground Elevation- MW, Screen Bottom [ft]- MW
CDBO-6				['6817.2']		['49']	['2 in']		['44']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-52 S1				['6883.04']					['1055.7']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-4 OB	['Regional']																Aquifer- MW
SCO-2						['19.4']			['19.4']								Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-64				['7121.74']		['1316.1']	['5 in']		['1305.5']							['7124.68', '7121.74']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
R-33 S2				['6853.33']					['1122.3']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-7 S1				['6779.2']					['379.2']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-19 S7									['1839.5']								Screen Bottom [ft]- MW
SCI-1				['6738.27']		['378.5']	['3.75 in']		['378.5', '377.9']							['6738.27']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Screen Bottom [ft]- MW
MT-3				['6796.65']		['74']			['64']								Ground Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-57 S1				['6648.04']					['930.5']								Ground Elevation- MW, Screen Bottom [ft]- MW
TA-53i				['6987.17']		['620.8']	['5 in']		['610']							['6987.17']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
18-MW-14				['6725.8']													Ground Elevation- MW
R-20		['35.8363447']															Latitude- MW
MCOI-5				['6819.7']		['702.7']	['4.5 in']	['689']	['699']							['6819.7']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-54 S2				['6679.85']					['925']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-12 S3			['-106.2263505', '-106.226350500000']	['6499.6']					['839']								Longitude- MW, Ground Elevation- MW, Screen Bottom [ft]- MW, Longitude- CD
R-42				['6759.02']		['973.5']	['5 in']		['952.9']				['Tsfu']			['6761.79']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
CDBO-5						['18']	['2 in']	['8']	['18']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
MCA-4						['5.4']	['1.0 in']		['5.3']				['Qal']			['7137.3']	Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
PO-4B	['Alluvial']																Aquifer- MW
R-9i S2				['6383.2']					['280.3']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-13				['6673.05']		['1029.4']	['4.5 in']	['958.3']	['1018.72', '1018.7']							['6673.05']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
PCAO-8						['25']	['4 in']		['19.7']							['6584.45']	Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-22 S3		['35.829246', '35.829246499999996', '35.829246500000']		['6650.5']					['1278.9']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD
R-36				['6591.37']		['803.7']	['4.5 in']		['789.9']							['6589.91', '6591.37']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
R-7 S2									['746.4']								Screen Bottom [ft]- MW
R-53 S2				['6689.98']					['980.2']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-61 S2				['6940.12']					['1241']				['Tsfu']				Ground Elevation- MW, Geologic Unit Code- MW, Screen Bottom [ft]- MW
MCO-4						['19']	['3 in']		['19']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
LAOI-7				['6458.35']		['264.9']	['3 in']		['259.6']							['6458.35', '6460.15']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW
R-4				['6577.49']		['840']	['4.5 in']		['816']				['Tp']			['6577.49']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
MCOBT-4.4				['6836.18']		['545']	['4.5 in']		['524']				['Tpf']			['6838.58']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-19 S6									['1733.9']								Screen Bottom [ft]- MW
R-49 S1				['6584.54']					['855']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-13 OB	['Regional']																Aquifer- MW
LADP-3				['6754.19', '6756.7']		['326.3']	['2 in']	['317.56']	['326.3']							['6756.342', '6754.19']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, TOC Elevation- MW, Ground Elevation- MW
18-MW-17						['22']	['2 in']		['22']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-17 OB	['Regional']																Aquifer- MW
SWL-2		['35.8747512', '35.874751200000']															Latitude- MW, Latitude- CD
CDBO-4						['12']	['2 in']	['4']	['12']								Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW
R-32 OB	['Regional']	['35.8309486']															Aquifer- MW, Latitude- MW
R-20 S3		['35.836345', '35.8363447', '35.836345000000', '35.836344700000']		['6694.35']					['1336.5']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD, Latitude- CD
R-35b				['6625.21']		['872.2']	['4.5 in']		['848.5']							['6625.21']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-8 OB	['Regional']																Aquifer- MW
MCO-0.6			['-106.3054514', '-106.305451400000']			['3.1']	['2.0 in']		['3.05']							['7192.09']	Longitude- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Longitude- CD
